Description,Incident#,Location,Agency,Date
VANDALISM,PD190920338020,3800 BLOCK NW 27TH AVE,Miami-Dade Police,9-20-2019 7:54 PM
DRUGS/ALCOHOL VIOLATIONS,PD190920337569,1800 BLOCK RED RD,Miami-Dade Police,9-20-2019 12:45 PM
VEHICLE BREAK-IN/THEFT,PD190920337459,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-20-2019 11:30 AM
THEFT/LARCENY,PD190920337094,5400 BLOCK NW 27TH,Miami-Dade Police,9-20-2019 5:30 AM
ASSAULT,PD190920337057,700 BLOCK NW 79TH ST,Miami-Dade Police,9-20-2019 4:44 AM
VANDALISM,PD190920336982,1600 BLOCK NW 79TH ST,Miami-Dade Police,9-20-2019 1:14 AM
THEFT/LARCENY,PD190920337461,7100 BLOCK NW 20TH AVE,Miami-Dade Police,9-20-2019 12:00 AM
ASSAULT,PD190919336823,NW 18TH AVE & NW 63RD ST,Miami-Dade Police,9-19-2019 9:23 PM
MOTOR VEHICLE THEFT,PD190919336822,NW 32ND AVE & NW 50TH ST,Miami-Dade Police,9-19-2019 9:20 PM
ASSAULT,PD190919336654,MR BRICKELL,Miami-Dade Police,9-19-2019 6:30 PM
THEFT/LARCENY,PD190919336595,NW 32ND AVE & NW 37TH ST,Miami-Dade Police,9-19-2019 5:04 PM
FRAUD,PD190920337167,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-19-2019 4:00 PM
ASSAULT,PD190919336386,7600 BLOCK NW 17TH PL,Miami-Dade Police,9-19-2019 3:18 PM
ASSAULT,PD190919336370,5800 BLOCK NW 32ND AVE,Miami-Dade Police,9-19-2019 2:34 PM
VEHICLE BREAK-IN/THEFT,PD190920337287,3100 BLOCK NW 46TH ST,Miami-Dade Police,9-19-2019 1:00 PM
THEFT/LARCENY,PD190919336521,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-19-2019 10:00 AM
BURGLARY,PD190919336111,3600 BLOCK NW 30TH AVE,Miami-Dade Police,9-19-2019 9:30 AM
ASSAULT,PD190919335769,7300 BLOCK NW 36TH ST,Miami-Dade Police,9-19-2019 5:21 AM
ASSAULT,PD190919335734,7400 BLOCK NW 15TH AVE,Miami-Dade Police,9-19-2019 3:34 AM
THEFT/LARCENY,PD190919335653,3200 BLOCK NW NORTH RIVER DR,Miami-Dade Police,9-19-2019 12:35 AM
ASSAULT,PD190919335644,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-19-2019 12:05 AM
ROBBERY,PD190918335585,1800 BLOCK NW 64TH ST,Miami-Dade Police,9-18-2019 10:00 PM
VEHICLE BREAK-IN/THEFT,PD190919336023,7400 BLOCK NW 23RD AVE,Miami-Dade Police,9-18-2019 10:00 PM
BURGLARY,PD190919336030,3500 BLOCK NW 51ST ST,Miami-Dade Police,9-18-2019 9:00 PM
THEFT/LARCENY,PD190920337465,3100 BLOCK NW 50TH ST,Miami-Dade Police,9-18-2019 7:00 PM
MOTOR VEHICLE THEFT,PD190919335772,200 BLOCK NW 72ND AVE,Miami-Dade Police,9-18-2019 5:30 PM
THEFT/LARCENY,PD190918335336,800 BLOCK NW 79TH ST,Miami-Dade Police,9-18-2019 4:31 PM
ASSAULT,PD190918334934,7900 BLOCK NW 22ND AVE,Miami-Dade Police,9-18-2019 1:29 PM
VANDALISM,PD190918335365,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-18-2019 1:00 PM
ROBBERY,PD190918334710,NW 25TH AVE & NW 54TH ST,Miami-Dade Police,9-18-2019 10:14 AM
ASSAULT,PD190918334646,100 BLOCK NW 1ST AVE,Miami-Dade Police,9-18-2019 9:30 AM
