,Description,Incident#,Location,Agency,Date,location,New
0,VANDALISM,PD190920338020,3800 BLOCK NW 27TH AVE,Miami-Dade Police,9-20-2019 7:54 PM,"[-80.2409315, 25.8116241]",25.8354273
1,DRUGS/ALCOHOL VIOLATIONS,PD190920337569,1800 BLOCK RED RD,Miami-Dade Police,9-20-2019 12:45 PM,"[-80.2878964, 25.7542529]",25.8354273
2,VEHICLE BREAK-IN/THEFT,PD190920337459,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-20-2019 11:30 AM,"[-80.2425681, 25.8479395]",25.8354273
3,THEFT/LARCENY,PD190920337094,5400 BLOCK NW 27TH,Miami-Dade Police,9-20-2019 5:30 AM,"[-80.2408489, 25.8239496]",25.8354273
4,ASSAULT,PD190920337057,700 BLOCK NW 79TH ST,Miami-Dade Police,9-20-2019 4:44 AM,"[-80.2094079, 25.8468429]",25.8354273
5,VANDALISM,PD190920336982,1600 BLOCK NW 79TH ST,Miami-Dade Police,9-20-2019 1:14 AM,"[-80.2244413, 25.8463048]",25.8354273
6,THEFT/LARCENY,PD190920337461,7100 BLOCK NW 20TH AVE,Miami-Dade Police,9-20-2019 12:00 AM,"[-80.230306, 25.839415]",25.8354273
7,ASSAULT,PD190919336823,NW 18TH AVE & NW 63RD ST,Miami-Dade Police,9-19-2019 9:23 PM,"[-80.22699209999999, 25.8329115]",25.8354273
8,MOTOR VEHICLE THEFT,PD190919336822,NW 32ND AVE & NW 50TH ST,Miami-Dade Police,9-19-2019 9:20 PM,"[-80.2487641, 25.8199581]",25.8354273
9,ASSAULT,PD190919336654,MR BRICKELL,Miami-Dade Police,9-19-2019 6:30 PM,"[-80.1934364, 25.7643793]",25.8354273
10,THEFT/LARCENY,PD190919336595,NW 32ND AVE & NW 37TH ST,Miami-Dade Police,9-19-2019 5:04 PM,"[-80.2483843, 25.8095775]",25.8354273
11,FRAUD,PD190920337167,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-19-2019 4:00 PM,"[-80.2425681, 25.8479395]",25.8354273
12,ASSAULT,PD190919336386,7600 BLOCK NW 17TH PL,Miami-Dade Police,9-19-2019 3:18 PM,"[-80.22694659999999, 25.8435214]",25.8354273
13,ASSAULT,PD190919336370,5800 BLOCK NW 32ND AVE,Miami-Dade Police,9-19-2019 2:34 PM,"[-80.2490857, 25.8273904]",25.8354273
14,VEHICLE BREAK-IN/THEFT,PD190920337287,3100 BLOCK NW 46TH ST,Miami-Dade Police,9-19-2019 1:00 PM,"[-80.2465986, 25.816299]",25.8354273
15,THEFT/LARCENY,PD190919336521,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-19-2019 10:00 AM,"[-80.2425681, 25.8479395]",25.8354273
16,BURGLARY,PD190919336111,3600 BLOCK NW 30TH AVE,Miami-Dade Police,9-19-2019 9:30 AM,"[-80.2442791, 25.8089582]",25.8354273
17,ASSAULT,PD190919335769,7300 BLOCK NW 36TH ST,Miami-Dade Police,9-19-2019 5:21 AM,"[-80.3155613, 25.8088359]",25.8354273
18,ASSAULT,PD190919335734,7400 BLOCK NW 15TH AVE,Miami-Dade Police,9-19-2019 3:34 AM,"[-80.2232442, 25.8419737]",25.8354273
19,THEFT/LARCENY,PD190919335653,3200 BLOCK NW NORTH RIVER DR,Miami-Dade Police,9-19-2019 12:35 AM,"[-80.248925, 25.7993761]",25.8354273
20,ASSAULT,PD190919335644,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-19-2019 12:05 AM,"[-80.31156899999999, 25.8101534]",25.8354273
21,ROBBERY,PD190918335585,1800 BLOCK NW 64TH ST,Miami-Dade Police,9-18-2019 10:00 PM,"[-80.2270429, 25.8335156]",25.8354273
22,VEHICLE BREAK-IN/THEFT,PD190919336023,7400 BLOCK NW 23RD AVE,Miami-Dade Police,9-18-2019 10:00 PM,"[-80.2354835, 25.8420244]",25.8354273
23,BURGLARY,PD190919336030,3500 BLOCK NW 51ST ST,Miami-Dade Police,9-18-2019 9:00 PM,"[-80.2530847, 25.8205401]",25.8354273
24,THEFT/LARCENY,PD190920337465,3100 BLOCK NW 50TH ST,Miami-Dade Police,9-18-2019 7:00 PM,"[-80.1917902, 25.7616798]",25.8354273
25,MOTOR VEHICLE THEFT,PD190919335772,200 BLOCK NW 72ND AVE,Miami-Dade Police,9-18-2019 5:30 PM,"[-80.24673399999999, 25.8200272]",25.8354273
